pitch_type,release_speed,player_name,pitcher,p_throws,balls,strikes,inning,inning_topbot,launch_angle,launch_speed,effective_speed,iso_value,woba_value,estimated_woba_using_speedangle,estimated_ba_using_speedangle,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,events,n_priorpa_thisgame_player_at_bat,zone
FC,86.6,"Meidroth, Chase",608723,R,0,0,4,Bot,,,86.4,,,,,,-0.035,,,2,14
FF,92.8,"Hill, Derek",608723,R,2,2,4,Bot,,,92.8,0.0,0.0,0.0,,,0.201,,strikeout,1,12
CU,74.6,"Hill, Derek",608723,R,1,2,4,Bot,,,73.7,,,,,,-0.036,,,1,14
CU,74.2,"Hill, Derek",608723,R,1,2,4,Bot,-81.0,59.5,73.3,,,,,,0.0,88.0,,1,8
FC,86.5,"Hill, Derek",608723,R,1,1,4,Bot,44.0,73.7,86.4,,,,,,0.07,88.0,,1,5
PO,90.2,"Hill, Derek",608723,R,0,1,4,Bot,,,90.0,,,,,,-0.034,,,1,12
ST,77.7,"Hill, Derek",608723,R,0,0,4,Bot,,,77.3,,,,,,0.043,,,1,4
FC,86.5,"Acuña, Luisangel",608723,R,3,1,4,Bot,6.0,99.3,86.8,0.0,0.9,0.549,0.589,0.673,-0.258,99.3,single,1,6
FC,84.9,"Acuña, Luisangel",608723,R,3,0,4,Bot,,,85.4,,,,,,0.09,,,1,12
FF,91.1,"Acuña, Luisangel",608723,R,2,0,4,Bot,,,91.3,,,,,,-0.152,,,1,11
CU,74.0,"Acuña, Luisangel",608723,R,1,0,4,Bot,,,73.3,,,,,,-0.077,,,1,11
ST,80.7,"Acuña, Luisangel",608723,R,0,0,4,Bot,,,80.7,,,,,,-0.041,,,1,14
FC,88.8,"Giménez, Andrés",663436,R,0,0,4,Top,26.0,93.8,89.6,0.0,0.0,0.219,0.174,0.35,0.271,93.8,field_out,1,9
FF,93.5,"Clement, Ernie",663436,R,1,0,4,Top,15.0,97.0,93.8,0.0,0.9,0.772,0.803,0.992,-0.288,97.0,single,1,6
SI,93.0,"Clement, Ernie",663436,R,0,0,4,Top,,,93.0,,,,,,-0.037,,,1,11
SI,93.2,"Varsho, Daulton",663436,R,2,2,4,Top,,,92.9,0.0,0.0,0.0,,,0.228,,strikeout,1,2
CU,81.4,"Varsho, Daulton",663436,R,1,2,4,Top,,,81.0,,,,,,-0.048,,,1,11
FF,94.0,"Varsho, Daulton",663436,R,0,2,4,Top,,,94.0,,,,,,-0.017,,,1,11
CU,81.9,"Varsho, Daulton",663436,R,0,1,4,Top,-17.0,67.9,80.8,,,,,,0.052,88.0,,1,9
FF,93.7,"Varsho, Daulton",663436,R,0,0,4,Top,,,93.4,,,,,,0.039,,,1,3
SI,92.1,"Okamoto, Kazuma",663436,R,0,0,4,Top,42.0,96.2,91.8,0.0,0.0,0.023,0.017,0.046,0.259,96.2,field_out,1,5
ST,80.6,"Murray, Tanner",608723,R,2,2,3,Bot,81.0,76.5,80.6,0.0,0.0,0.003,0.003,0.003,0.196,88.0,field_out,1,3
